,ticker,Market Cap (intraday) 5,Enterprise Value 3,Trailing P/E ,Forward P/E 1,PEG Ratio (5 yr expected) 1,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue 3,Enterprise Value/EBITDA 6,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float ,% Held by Insiders 1,% Held by Institutions 1,Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ScrapedName,Sector
82,ACX.MC,2.97B,18.19,9.17,0.49,0.48,1.08,0.62,8.65,1.28,-10.22%,11.97%,10.23,6.94,9.40,8.85,826.36k,759.48k,270.55M,158.69M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4,4.55%,0.50,5.82%,4.36,39.45%,N/A,"Jul 03, 2019",4:1,"Jul 26, 2004","Dec 31, 2018","Sep 30, 2019",2.68%,3.53%,2.21%,5.02%,4.82B,17.69,-5.00%,1.43B,342.74M,129.09M,0.47,-47.00%,933M,3.44,1.52B,69.88,1.95,8.00,387.4M,218.39M,,ACERINOX S.A. (ACX.MC),Basic Materials
83,ITX.MC,91.3B,24.31,N/A,N/A,3.29,6.48,3.32,15.06,0.87,11.74%,11.97%,32.28,23.77,31.35,29.13,2.92M,2.87M,3.11B,1.11B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.66,2.23%,0.66,2.25%,1.71,55.14%,N/A,"Oct 31, 2019",5:1,"Jul 28, 2014","Jan 31, 2019","Oct 31, 2019",13.54%,17.56%,11.68%,26.99%,27.53B,8.84,9.20%,14.35B,6.06B,3.73B,1.20,13.80%,7.8B,2.5,6.81B,48.62,1.34,4.49,N/A,N/A,,INDUSTRIA DE DISE O TEXTIL S.A. (ITX.MC),Sector
84,AZK.MC,163.89M,8.81,N/A,N/A,0.97,1.57,1.12,7.76,0.51,-9.85%,11.97%,8.80,5.58,6.27,6.63,10.48k,10.8k,24.39M,10.74M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19,3.24%,0.14,2.32%,N/A,29.51%,N/A,"Jun 17, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",11.02%,12.92%,N/A,N/A,145.64M,5.97,8.60%,90.1M,21.12M,16.05M,0.66,6.80%,7.85M,0.32,28.72M,31.91,N/A,3.69,N/A,N/A,,AZKOYEN S.A. (AZK.MC),Industrials
85,LGT.MC,147.03M,15.90,N/A,N/A,1.18,3.12,1.32,8.89,1.05,-13.27%,11.97%,17.00,12.85,13.54,13.63,13.79k,3.34k,10M,7.56M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7,5.30%,0.70,5.30%,4.39,90.37%,N/A,"Jun 04, 2019",1:1,"May 10, 2010","Dec 31, 2018","Jun 30, 2019",7.45%,9.84%,7.30%,19.98%,111.61M,11.15,-5.20%,63.32M,16.53M,8.31M,0.83,-15.60%,6.31M,0.63,21.34M,50.50,1.12,4.23,12.38M,3.1M,,LINGOTES ESPECIALES S.A. (LGT.MC),Sector
86,ORY.MC,118.06M,N/A,-12.13,N/A,14.22,1.82,12.78,-32.14,0.57,-22.94%,11.97%,4.4650,2.4800,3.1584,2.8651,325.09k,435.01k,45.12M,34.57M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 31, 2018","Sep 30, 2019",-37.81%,-41.10%,-3.47%,-7.27%,9.23M,0.24,95.80%,6.49M,-3.67M,-3.49M,-0.0900,N/A,39.12M,0.86,13.2M,21.27,3.94,1.60,N/A,N/A,,ORYZON GENOMICS S.A. (ORY.MC),Sector
87,SAN.MC,177.52B,9.74,N/A,N/A,1.43,0.58,4.34,N/A,1.44,-16.13%,11.97%,4.6820,3.3855,3.7252,3.6775,51.89M,45.25M,16.62B,16.43B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,5.70%,0.20,5.70%,5.69,63.71%,N/A,"Apr 30, 2020",66:65,"Jan 17, 2011","Dec 31, 2019","Dec 31, 2019",15.92%,34.57%,0.54%,7.45%,40.94B,2.28,8.00%,40.94B,N/A,6.51B,0.3610,34.60%,222.66B,13.4,331.31B,N/A,N/A,6.03,N/A,N/A,,BANCO SANTANDER S.A. (SAN.MC),Sector
88,TRG.MC,266.46M,N/A,N/A,N/A,0.11,0.39,0.89,-88.58,3.17,-27.34%,11.97%,0.3100,0.1770,0.2029,0.2074,569.61k,260.78k,173.91M,127.66M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jun 18, 2015",4:1,"Oct 08, 2007","Dec 31, 2018","Sep 30, 2019",-15.03%,-8.49%,-3.04%,-47.29%,300.03M,1.72,-15.40%,196.55M,-3.01M,-44.6M,-0.2590,N/A,18.72M,0.11,252.12M,305.51,0.76,0.47,N/A,N/A,,TUBOS REUNIDOS S.A. (TRG.MC),Basic Materials
89,TUB.MC,573.21M,22.77,N/A,N/A,0.43,0.97,0.90,10.02,1.34,-26.07%,11.97%,3.1000,2.1000,2.6466,2.7289,141.82k,176.84k,129.31M,102.54M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,2.05%,0.05,2.23%,N/A,48.90%,N/A,"May 30, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",1.91%,3.66%,1.48%,4.73%,637.43M,4.92,-4.10%,302.09M,57.2M,12.19M,0.0940,-61.40%,153.2M,1.18,427.3M,144.75,1.04,2.21,N/A,N/A,,TUBACEX S.A. (TUB.MC),Basic Materials
90,ENG.MC,9.81B,13.02,13.50,7.71,4.86,2.16,7.54,11.18,0.31,-3.42%,11.97%,27.22,18.80,24.29,22.17,1.6M,1.49M,261.49M,213.32M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.56,6.41%,0.92,3.78%,5.71,81.09%,N/A,"Dec 19, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",34.59%,45.69%,4.11%,15.83%,1.3B,5.43,44.50%,1.25B,877.6M,450.03M,1.86,10.60%,711.5M,2.98,4.71B,171.94,2.02,11.18,862.28M,865.54M,,ENAGAS S.A. (ENG.MC),Utilities
91,ACS.MC,10.59B,8.84,9.74,6.22,0.22,1.92,0.27,4.17,1.28,-28.30%,11.97%,40.97,27.29,32.02,34.38,1.03M,1.61M,304.37M,247.17M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.9,6.88%,2.34,8.47%,4.11,59.72%,N/A,"Feb 18, 2020",2:1,"Jun 27, 2017","Dec 31, 2019","Dec 31, 2019",2.46%,4.03%,2.70%,12.38%,39.05B,126.99,7.30%,10.67B,2.54B,962M,3.13,-13.80%,9.43B,30.81,10.49B,190.85,1.01,14.44,1.72B,3.06B,,ACS ACTIVIDADES DE CONSTRUCCION (ACS.MC),Industrials
92,IAG.MC,18.21B,6.08,5.56,1.53,0.51,2.07,0.71,4.33,0.85,-8.15%,11.97%,8.02,4.50,7.35,6.26,3.22M,2.14M,1.99B,1.48B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29,4.30%,0.31,4.70%,N/A,29.00%,N/A,"Nov 28, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",8.74%,11.91%,N/A,N/A,25.46B,12.81,2.40%,6.55B,4.21B,2.22B,1.08,-8.20%,7.99B,4.03,12.81B,194.65,N/A,3.17,N/A,N/A,,INTL CONSOLIDATED AIRLINES GROU (IAG.MC),Sector
93,PRM.MC,197.94M,16.45,N/A,N/A,1.35,1.84,1.36,10.11,0.27,-1.72%,11.97%,12.50,10.60,11.70,11.30,4.71k,18.5k,17.33M,8.04M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.58,5.05%,0.47,4.09%,4.70,82.56%,N/A,"Jan 14, 2020",2:1,"Feb 20, 2006","Dec 31, 2018","Sep 30, 2019",8.35%,11.21%,7.03%,11.37%,146.04M,8.43,14.90%,70.94M,19.58M,12.19M,0.70,-25.20%,10.28M,0.59,9.58M,8.85,3.26,6.24,N/A,N/A,,PRIM S.A. (PRM.MC),Sector
94,INY.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
95,TL5.MC,1.4B,7.34,7.46,3.64,1.60,1.86,1.50,4.93,0.94,-27.63%,11.97%,7.1480,4.5400,5.2064,5.6006,458.74k,708.7k,307.82M,150.56M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.32,6.73%,0.31,6.72%,N/A,47.82%,N/A,"Apr 26, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",22.53%,28.43%,14.33%,24.80%,933.88M,2.94,-7.10%,466.75M,284.22M,210.43M,0.6600,36.40%,141.4M,0.43,N/A,N/A,1.35,2.61,351.02M,153.91M,,MEDIASET ESPANA COMUNICACION S (TL .MC),Communication Services
